イベントID,イベント名,説明,説明2,path
1,サマーファンタジア2026,夜空を彩る大迫力のプロジェクションマッピングと、限定のライトアップ演出がパーク全体を包み込みます,BBランドの夏の夜を、最高の思い出に。開催中の「サマーファンタジア2026」では、夜空を彩る大迫力のプロジェクションマッピングと、この時期だけの限定ライトアップがパーク全体を幻想的に包み込みます。さらに、限定フードやキャラクターとのグリーティングも盛りだくさん！光と魔法があふれる夏だけの特別イベントで、大切な人と心躍るひとときをお過ごしください。皆様のご来園を心よりお待ちしております。,event_1.png
2,キャラクターミート＆グリート,新キャラクターがBBランドに仲間入り！期間限定で特別なお出迎えと記念撮影を実施します。,BBランドに新しいおともだちが仲間入り！7月10日から7月20日までの期間限定で、新キャラクターたちとの「ミート＆グリート」を開催します。中央広場では特別なお出迎えや記念撮影を実施し、一緒に写真が撮れるほか、おしゃべりやハグ、ハイタッチも楽しめます。参加者にはオリジナルシールもプレゼント！この機会にぜひ会いに来て、新しいおともだちと最高の思い出をつくろう！皆様のご来園を心よりお待ちしております。,event_2.png
3,BBランド謎解きトレジャー,パーク内に隠された謎を解き明かして、限定オリジナルピンバッジを手に入れよう！家族みんなで挑戦できます。,BBランドでワクワクの冒険に出かけよう！「BBランド謎解きトレジャー」を開催中です。パーク内に隠された謎を解き明かして、隠された宝の場所を見つけ出そう。見事クリアした方には、ここでしか手に入らない限定オリジナルピンバッジをプレゼントいたします。家族みんなで知恵を出し合って挑戦できる楽しいイベントです。,event_3.png
4,ひんやりフードフェスティバル,夏にぴったりの冷たいスイーツや、スパイシーなスタミナメニューが各レストランに大集合！,BBランドにて、夏を思いっきり楽しむ「ひんやりフードフェスティバル」の開催が決定しました！期間中は各レストランに、暑い日にぴったりの冷たいスイーツや、夏バテも吹き飛ぶスパイシーなスタミナメニューが大集合します。見た目も華やかでフォトジェニックな限定メニューの数々をお見逃しなく！この夏だけの特別なグルメを味わって、元気いっぱいにパークを満喫しましょう。ご来店を心よりお待ちしております。,event_4.png
5,夕暮れのトワイライトパス割引,16時以降の入園がとってもお得になるスペシャルキャンペーン。学校帰りや仕事終わりにもおすすめです。,夕方からのお得なスペシャルキャンペーン、「夕暮れのトワイライトパス割引」の実施が決定しました！16時以降の入園で、パークを通常価格から30%OFFの特別価格で満喫いただけます。学校帰りや仕事終わりのリフレッシュに最適です。美しいイルミネーションやショーを楽しみながら、夜のパークで素敵なひとときをお過ごしください。皆様のご来園をお待ちしております。,event_5.png
6,SNSフォトコンテスト,ハッシュタグをつけてパークの思い出を投稿しよう！優秀賞には次回のペアパスポートをプレゼント。,BBランドの思い出をシェアしよう！「SNSフォトコンテスト」の開催が決定しました。パーク内で撮影したお気に入りの写真に指定のハッシュタグを付けて投稿するだけで応募完了です。優秀作品に選ばれた方には、次回の入園に使えるペアパスポートをはじめとする豪華賞品をプレゼントいたします。素敵な写真の投稿を心よりお待ちしております！,event_6.png
7,BBランド人気投票,月に１度の人気投票 年に１度の表彰式もあり、１位による記念グッズも登場,さらに現在、パーク内で撮影した写真で参加できる「SNSフォトコンテスト」も開催決定！お気に入りの一枚に指定のハッシュタグをつけて投稿すると、豪華賞品が当たるチャンスです。楽しい夏の思い出をSNSでシェアして、素敵なプレゼントをゲットしましょう！皆様のご投稿をお待ちしております。,event_7.png
8,キャラ誕生日,キャラクターの誕生日をみんなでお祝いしよう！ 誕生会や特別なフォトスポット等この日だけの特別な時間を楽しもう,BBランドの仲間たちの誕生日をみんなでお祝いする特別なイベントです。誕生日限定のフォトスポットやバースデーグリーティング、記念ステージなど楽しい企画が盛りだくさん。いつもより少し特別な衣装で登場するキャラクターたちと一緒に、大切な一日をお祝いしましょう。思い出に残る素敵な時間をお届けします。,event_8.png
9,パレード,BBランドの仲間たちが登場！みんなでパレードを盛り上げよう！,BBランドの人気キャラクターたちが華やかなフロートに乗って大集合！音楽に合わせて踊ったり手を振ったりしながら、パーク内を元気いっぱいに行進します。沿道から一緒に踊ったり声援を送ったりして、みんなでパレードを盛り上げましょう。子どもから大人まで笑顔になれる、BBランドならではの夢と感動が詰まったイベントです。,event_9.png
10,参加型イベント,参加するまで分からないドキドキの参加型イベント！子供から大人まで楽しめる内容が盛りだくさん,内容は当日までのお楽しみ！ゲームやクイズ、チャレンジ企画など、何が始まるかわからないドキドキの参加型イベントです。キャラクターやスタッフと一緒に楽しめる企画が盛りだくさんで、子どもから大人まで誰でも気軽に参加できます。イベントによっては限定グッズや特典がもらえることも。ぜひ参加して思い出を作りましょう。,event_10.png
11,期間限定アトラクション,季節やテーマに合わせた特別なアトラクションが期間限定で登場！今しか体験できないワクワクをお見逃しなく。,季節やイベントテーマに合わせた特別なアトラクションが期間限定で登場します。ここでしか体験できない演出や仕掛けが満載で、何度訪れても新しい発見とワクワクが待っています。開催期間を過ぎると体験できない限定コンテンツも多数ご用意。今しか楽しめない特別な冒険にぜひご参加ください。,event_11.png
12,仮装来店特典日,好きなキャラクターやテーマに合わせて仮装して来園しよう！特典シールや限定グッズ、記念撮影等うれしい特典がたくさん！,お気に入りのキャラクターやテーマに合わせて仮装して来園しよう！仮装で来園されたお客様には特典シールや限定グッズ、記念撮影サービスなど嬉しい特典をプレゼント。パーク全体が華やかな雰囲気に包まれ、まるで物語の世界に入り込んだような気分を味わえます。家族や友人と一緒に特別な一日をお楽しみください。,event_12.png
13,スタンプラリー,園内に隠されたスタンプを集めてゴールを目指そう！全て集めて限定グッズをもらおう！,園内各所に設置されたスタンプを探して集めながらパークを巡る人気イベントです。すべてのスタンプを集めると限定グッズや記念品をプレゼント。普段は気づかないスポットを発見できる楽しさも魅力です。家族や友達と協力しながらゴールを目指して、BBランドを隅々まで満喫しましょう。,event_13.png
14,トレジャーハント,園内に隠された謎を解いてお宝にたどり着こう！家族や友達を協力しながら冒険気分を味わえます。,園内に隠されたヒントや謎を解きながらお宝を探し出す体験型イベントです。家族や友達と協力しながら進めることで、冒険気分を味わえます。難問を突破した先には特別な景品や達成感が待っているかも！？参加するたびに新しい発見がある、BBランドならではの人気イベントです。,event_14.png
15,じゃんけん大会,突発的に開催されるじゃんけん大会！キャラクターやスタッフとじゃんけんをして限定グッズを貰おう！勝った数に応じて更にいいことがあるかも…？,突発開催の大人気イベント！キャラクターやスタッフとじゃんけん勝負をして勝利を目指そう。勝った回数に応じて限定グッズや素敵なプレゼントがもらえます。さらに連勝すると特別なサプライズが待っているかもしれません。パーク内で開催アナウンスを聞いたらぜひ参加してみてください。,event_15.png
16,ドキドキ抽選会,来園者限定の大抽選会！ハズレはなく、参加者全員に何かが当たる…！？是非ご参加ください。,来園者限定で参加できる大抽選会を開催！豪華賞品からオリジナルグッズまで、何が当たるかはお楽しみ。しかもハズレなしなので参加者全員に何かが当たります。運試し感覚で気軽に参加できる人気イベントで、思わぬプレゼントが手に入るチャンスも。ぜひご家族みんなでご参加ください。,event_16.png
17,スペシャルゲストイベント,人気キャラクターやアーティスト等特別なゲストがＢＢランドに登場！ 特別なステージやトークショーをお楽しみください。,人気キャラクターやアーティスト、パフォーマーなど特別なゲストがBBランドに登場するスペシャルイベントです。ここでしか見られないステージショーやトークイベント、限定企画など内容は盛りだくさん。憧れのゲストと過ごせる貴重な時間をぜひお楽しみください。開催情報は公式サイトをチェック！,event_17.png
18,雨の日,雨の日だからこそ楽しめる特別なイベントを開催！ 何が起こるか分からない雨の日を楽しもう,雨の日限定で開催される特別イベントです。天候が悪い日だからこそ楽しめるサプライズ企画や限定サービスをご用意。何が起こるかは当日のお楽しみ！雨の日だけのプレゼントやキャラクター企画など、普段とは違ったBBランドの魅力を発見できます。雨の日も笑顔いっぱいで楽しみましょう。,event_18.png
19,春 お花畑フォトスポット,色とりどりの花々で彩られた春限定のフォトスポットが登場！キャラクターたちとの記念撮影で春の思い出を残そう。,春限定で色とりどりの花々に囲まれたフォトスポットが登場します。華やかな装飾や季節限定の演出がパークを彩り、まるで絵本の世界に迷い込んだような気分に。キャラクターたちとの記念撮影も楽しめるため、春の思い出作りにぴったりです。家族や友人と素敵な写真をたくさん残しましょう。,event_19.png
20,夏 熱中症対策,ミストシャワーや冷たいスイーツ、水遊びエリアなど暑い夏を快適に楽しめるイベント盛りだくさん！熱中症対策スポットも充実,暑い夏を快適に楽しめるイベントが盛りだくさん！ミストシャワーや水遊びエリア、冷たいスイーツなど夏限定のコンテンツをご用意しています。園内には熱中症対策スポットも充実しており、小さなお子様から大人まで安心して楽しめます。涼しさと楽しさが詰まった夏だけの特別イベントです。,event_20.png
21,秋 ハロウィン,園内がハロウィン一色に大変身！仮装パレードや限定ホラーアトラクション等ハロウィンならではのイベントがたくさん！来園者にはお菓子も,園内がハロウィン一色に大変身！仮装パレードや限定ホラーアトラクション、ハロウィン限定フードなど秋ならではのイベントを多数開催します。仮装して来園すると特別な特典が受けられることも。さらに来園者にはお菓子のプレゼントもご用意。家族みんなでハロウィン気分を満喫しましょう。,event_21.png
22,冬 クリスマス,イルミネーションが輝く幻想的な冬の祭典 クリスマスパレードやサンタさんとの記念撮影、クリスマスプレゼントが貰えるかも…！？,きらめくイルミネーションに包まれたBBランドが幻想的なクリスマスの世界へ変身します。クリスマス限定パレードやサンタクロースとの記念撮影、冬ならではのグルメなど楽しみ方はさまざま。運が良ければサンタさんから特別なプレゼントがもらえるかもしれません。心温まる冬の思い出をお届けします。,event_22.png
23,夏 熱中症対策,ミストシャワーや冷たいスイーツ、水遊びエリアなど暑い夏を快適に楽しめるイベント盛りだくさん！熱中症対策スポットも充実,暑い夏を快適に楽しめるイベントが盛りだくさん！ミストシャワーや水遊びエリア、冷たいスイーツなど夏限定のコンテンツをご用意しています。園内には熱中症対策スポットも充実しており、小さなお子様から大人まで安心して楽しめます。涼しさと楽しさが詰まった夏だけの特別イベントです。,event_23.png
